plan_id,plan_name,metal,premium,medical_deductable_person,medical_deductable_family,drug_deductable_person,drug_deductable_family,combined_deductable_person,combined_deductable_family,max_out_of_pocket_person,max_out_of_pocket_family,has_out_of_network,is_hsa,primary_care_visit_to_treat_an_injury_or_illness,specialist_visit,preventive_care_screening_immunization,preferred_brand_drugs,non_preferred_brand_drugs,specialty_drugs,generic_drugs,transplant,second_opinion,applied_behavior_analysis_based_therapies,chemotherapy,family_planning_services,urgent_care_centers_or_facilities,emergency_room_services,emergency_transportation_ambulance,well_baby_visits_and_care,prenatal_and_postnatal_care,gym_membership_reimbursement,x_rays_and_diagnostic_imaging,laboratory_outpatient_and_professional_services,imaging,major_dental_care_child,orthodontia_child,basic_dental_care_child,dental_check_up_for_children,mental_behavioral_health_inpatient_services,mental_behavioral_health_outpatient_services,substance_abuse_disorder_inpatient_services,substance_abuse_disorder_outpatient_services,outpatient_facility_fee,outpatient_surgery_physician_surgical_services,home_health_care_services,outpatient_rehabilitation_services,prosthetic_devices,chiropractic_care,inpatient_rehabilitation_services,durable_medical_equipment,skilled_nursing_facility,delivery_and_all_inpatient_services_for_maternity_care,inpatient_hospital_services,inpatient_physician_and_surgical_services,routine_eye_exam_for_children,contact_lenses_for_children,eye_glasses_for_children,acupuncture,telemedicine,step_tracking,free_pcp_visits_at_the_oscar_health_center,teeth_whitening_for_adults,autism_spectrum_disorders,dental_x_rays_for_adults,basic_dental_care_adult,routine_dental_services,routine_eye_exam
37848,"Empire HMO 5500 X for HSA Bronze ST INN Pediatric Dental Dep 25",Bronze,1041.92,,,,,5500,11000,6550,13100,No,Yes,"50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,$0,$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50.00% Coinsurance after deductible","50.00% Coinsurance after deductible","50.00% Coinsurance after deductible","50.00% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50.00% Coinsurance after deductible","50.00% Coinsurance after deductible","50.00% Coinsurance after deductible",,,,,,,,,,
37851,"Empire HMO 6350 X Bronze NS INN Pediatric Dental Dep 25",Bronze,1024.58,,,,,6350,12700,7150,14300,No,No,"$0 Copay before deductible","20% Coinsurance after deductible",$0,"$40 Copay after deductible","40% Coinsurance after deductible",,"$15 Copay after deductible","$800 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible",$0,"$75 Copay after deductible","$750 Copay after deductible","20% Coinsurance after deductible",$0,"20% Coinsurance after deductible",$0,"20% Coinsurance after deductible","20% Coinsurance after deductible","$100 Copay after deductible","50.00% Coinsurance after deductible","50.00% Coinsurance after deductible","25.00% Coinsurance after deductible","25.00% Coinsurance after deductible","$800.00 Copay per Stay after deductible","20% Coinsurance after deductible","$800.00 Copay per Stay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible",20%,"20% Coinsurance after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$800 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$800 Copay after deductible","$800.00 Copay per Stay after deductible","20% Coinsurance after deductible",$0,$0,$0,,,,,,,,,,
37857,"Empire HMO 2000 X Silver ST INN Pediatric Dental Dep 25",Silver,1300.38,,,,,1650,3300,5700,11400,No,No,"$30 Copay after deductible","$50 Copay after deductible",$0,$35,$70,,$10,"$1600.00 Copay after deductible","$50 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible",$0,"$70 Copay after deductible","$250 Copay after deductible","$150 Copay after deductible",$0,$0,$0,"$50 Copay after deductible","$50 Copay after deductible","$50 Copay after deductible","$30.00 Copay after deductible","$30.00 Copay after deductible","$30.00 Copay after deductible","$30.00 Copay after deductible","$1500.00 Copay per Stay after deductible","$30 Copay after deductible","$1500.00 Copay per Stay after deductible","$30 Copay after deductible","$100 Copay after deductible","$100 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","25% Coinsurance after deductible","$50 Copay after deductible","$1500.00 Copay after deductible","25% Coinsurance after deductible","$1500.00 Copay per Stay after deductible","$1600.00 Copay after deductible","$1500.00 Copay per Stay after deductible","$100 Copay after deductible","$30.00 Copay after deductible","25.00% Coinsurance after deductible","25.00% Coinsurance after deductible",,,,,,,,,,
37863,"Empire HMO 2250 X Silver NS INN Pediatric Dental Dep 25",Silver,1155.20,,,,,2100,6300,5700,11400,No,No,"$0 Copay before deductible","$50 Copay after deductible",$0,"$20 Copay after deductible","40% Coinsurance after deductible",,"$5 Copay after deductible","$1500.00 Copay after deductible","$50 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible",$0,"$50 Copay after deductible","$200 Copay after deductible","20% Coinsurance after deductible",$0,"20% Coinsurance after deductible",$0,"20% Coinsurance after deductible","20% Coinsurance after deductible","$100 Copay after deductible","50.00% Coinsurance after deductible","50.00% Coinsurance after deductible","25.00% Coinsurance after deductible","25.00% Coinsurance after deductible","$1500.00 Copay per Stay after deductible","20% Coinsurance after deductible","$1500.00 Copay per Stay after deductible","20% Coinsurance after deductible","$100 Copay after deductible","20% Coinsurance after deductible",20%,"20% Coinsurance after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$1500.00 Copay after deductible","20% Coinsurance after deductible","$1500.00 Copay per Stay after deductible","$1500.00 Copay after deductible","$1500.00 Copay per Stay after deductible","20% Coinsurance after deductible",$0,$0,$0,,,,,,,,,,
37866,"Empire HMO 600 X Gold ST INN Pediatric Dental Dep 25",Gold,1540.32,,,,,600,1200,4000,8000,No,No,"$25 Copay after deductible","$40 Copay after deductible",$0,$35,$70,,$10,"$1100.00 Copay after deductible","$40 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible",$0,"$60 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible",$0,$0,$0,"$40 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible","$25.00 Copay after deductible","$25.00 Copay after deductible","$25.00 Copay after deductible","$25.00 Copay after deductible","$1000.00 Copay per Stay after deductible","$25 Copay after deductible","$1000.00 Copay per Stay after deductible","$25 Copay after deductible","$100 Copay after deductible","$100 Copay after deductible","$25 Copay after deductible","$30 Copay after deductible","20% Coinsurance after deductible","$40 Copay after deductible","$1,000.00","20% Coinsurance after deductible","$1000.00 Copay per Stay after deductible","$1100.00 Copay after deductible","$1000.00 Copay per Stay after deductible","$100 Copay after deductible","$25.00 Copay after deductible","20.00% Coinsurance after deductible","20.00% Coinsurance after deductible",,,,,,,,,,
37869,"Empire HMO 0 X Platinum ST INN Pediatric Dental Dep 25",Platinum,1794.24,,,,,0,0,2000,4000,No,No,$15,$35,$0,$30,$60,,$10,$600.00,$35,$15,$15,$0,$55,$100.00,$100.00,$0,$0,$0,$35,$35,$35,$15.00,$15.00,$15.00,$15.00,"$500.00 Copay per Stay",$15,"$500.00 Copay per Stay",$15,$100.00,$100.00,$15,$25,10%,$35,$500.00,10%,"$500.00 Copay per Stay",$600.00,"$500.00 Copay per Stay",$100.00,$15.00,10.00%,10.00%,,,,,,,,,,
37912,"Empire HMO 1000 X Gold NS INN Pediatric Dental Dep 25",Gold,1399.70,,,,,1000,3000,7150,14300,No,No,$30,"10% Coinsurance after deductible",$0,"$40 Copay after deductible","40% Coinsurance after deductible",,$15,"$1000.00 Copay after deductible","10% Coinsurance after deductible","10% Coinsurance after deductible","10% Coinsurance after deductible",$0,"$50 Copay after deductible","$500 Copay after deductible","10% Coinsurance after deductible",$0,"10% Coinsurance after deductible",$0,"10% Coinsurance after deductible","10% Coinsurance after deductible","$100 Copay after deductible","50.00% Coinsurance after deductible","50.00% Coinsurance after deductible","25.00% Coinsurance after deductible","25.00% Coinsurance after deductible","$1000.00 Copay per Stay after deductible","10% Coinsurance after deductible","$1000.00 Copay per Stay after deductible","10% Coinsurance after deductible","10% Coinsurance after deductible","10% Coinsurance after deductible",10%,"10% Coinsurance after deductible","10% Coinsurance after deductible","10% Coinsurance after deductible","$1000.00 Copay after deductible","10% Coinsurance after deductible","$1000.00 Copay per Stay after deductible","$1000.00 Copay after deductible","$1000.00 Copay per Stay after deductible","10% Coinsurance after deductible",$0,$0,$0,,,,,,,,,,
37918,"Empire HMO 300 X Platinum NS INN Pediatric Dental Dep 25",Platinum,1660.82,,,,,300,900,4500,13500,No,No,$15,"$30 Copay after deductible",$0,"$30 Copay after deductible","40% Coinsurance after deductible",,$10,"$500 Copay after deductible","$30 Copay after deductible","5% Coinsurance after deductible","5% Coinsurance after deductible",$0,"$50 Copay after deductible","$150 Copay after deductible","5% Coinsurance after deductible",$0,"5% Coinsurance after deductible",$0,"5% Coinsurance after deductible","5% Coinsurance after deductible","$100 Copay after deductible","50.00% Coinsurance after deductible","50.00% Coinsurance after deductible","25.00% Coinsurance after deductible","25.00% Coinsurance after deductible","$500.00 Copay per Stay after deductible","5% Coinsurance after deductible","$500.00 Copay per Stay after deductible","5% Coinsurance after deductible","5% Coinsurance after deductible","5% Coinsurance after deductible",5%,"5% Coinsurance after deductible","5% Coinsurance after deductible","$30 Copay after deductible","$500 Copay after deductible","5% Coinsurance after deductible","$500.00 Copay per Stay after deductible","$500 Copay after deductible","$500.00 Copay per Stay after deductible","5% Coinsurance after deductible",$0,$0,$0,,,,,,,,,,
37927,"Empire HMO 5250 X Silver NS INN Pediatric Dental Dep 25",Silver,1150.50,,,,,3700,7400,5200,10400,No,No,$30,"25% Coinsurance after deductible",$0,$40,"35% Coinsurance after deductible",,$5,"25% Coinsurance after deductible","25% Coinsurance after deductible","25% Coinsurance after deductible","25% Coinsurance after deductible",$0,"$50 Copay after deductible","25% Coinsurance after deductible","25% Coinsurance after deductible",$0,"25% Coinsurance after deductible",$0,"25% Coinsurance after deductible","25% Coinsurance after deductible","25% Coinsurance after deductible","50.00% Coinsurance after deductible","50.00% Coinsurance after deductible","25.00% Coinsurance after deductible","25.00% Coinsurance after deductible","25% Coinsurance after deductible","25% Coinsurance after deductible","25% Coinsurance after deductible","25% Coinsurance after deductible","25% Coinsurance after deductible","25% Coinsurance after deductible",25%,"25% Coinsurance after deductible","25% Coinsurance after deductible","25% Coinsurance after deductible","25% Coinsurance after deductible","25% Coinsurance after deductible","25% Coinsurance after deductible","25% Coinsurance after deductible","25% Coinsurance after deductible","25% Coinsurance after deductible",$0,$0,$0,,,,,,,,,,
37936,"Empire HMO 6750 X Bronze NS INN Pediatric Dental Dep 25",Bronze,1006.80,,,,,6750,13500,7150,14300,No,No,"40% Coinsurance after deductible","40% Coinsurance after deductible",$0,"35% Coinsurance after deductible","45% Coinsurance after deductible",,"25% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible",$0,"40% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible",$0,"40% Coinsurance after deductible",$0,"40% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible","50.00% Coinsurance after deductible","50.00% Coinsurance after deductible","25.00% Coinsurance after deductible","25.00% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible",25%,"40% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible",$0,$0,$0,,,,,,,,,,
